Car Name,Car Price,Car Mileage,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine,VIN,TimeStamp,Source
2020 Ford Mustang EcoBoost Premium,"$23,990","55,580 mi.",Oxford White,Ebony,Rear-wheel Drive,Gasoline,10-Speed Automatic,2.3L I4 16V GDI DOHC Turbo,1FATP8UH7L5112640,2023-05-14 08:00:04.512456,Cars.com
2023 Kia K5 EX,"$34,645",317 mi.,Everlasting Silver,Black,Front-wheel Drive,Gasoline,8-Speed Automatic,1.6L I4 16V GDI DOHC Turbo,5XXG34J29PG197840,2023-05-14 08:00:07.786372,Cars.com
2023 Kia Sportage Plug-In Hybrid X-Line Prestige,"$45,155",10 mi.,Jungle Green,Black,All-wheel Drive,Hybrid,6-Speed Automatic,1.6L I4 16V GDI DOHC Turbo Hybrid,KNDPZDAH8P7074848,2023-05-14 08:00:10.364793,Cars.com
2023 Honda Passport TrailSport,"$45,290",8 mi.,Radiant Red Metallic,Black,All-wheel Drive,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H63PB004757,2023-05-14 08:00:12.676459,Cars.com
2023 Lincoln Aviator Standard AWD,"$59,140",24 mi.,Infinite Black Metallic,Ebony,All-wheel Drive,Gasoline,Automatic,3.0L V6 24V GDI DOHC Twin Turbo,5LM5J6XC0PGL13209,2023-05-14 08:00:15.979560,Cars.com
2023 Genesis GV70 2.5T,"$58,555",–,Red,–,AWD,Gasoline,Automatic,2.5L I4 16V PDI DOHC Turbo,KMUMADTB2PU123480,2023-05-14 08:00:19.598040,Cars.com
2018 Jeep Wrangler JK Unlimited Sport,"$25,500","76,523 mi.",Gobi Clearcoat,Black,Four-wheel Drive,Gasoline,5-Speed Automatic,3.6L V6 24V MPFI DOHC,1C4BJWDG1JL889228,2023-05-14 08:00:21.406747,Cars.com
2021 Chevrolet Trailblazer LT,"$24,060","39,687 mi.",Satin Steel Metallic,Jet Black,All-wheel Drive,Gasoline,9-Speed Automatic,1.3L I3 12V GDI DOHC Turbo,KL79MRSL2MB148357,2023-05-14 08:00:23.849507,Cars.com
2022 Nissan Rogue Sport SV,"$30,443","1,056 mi.",Gun Metallic,Charcoal,All-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V GDI DOHC,JN1BJ1BW7NW489002,2023-05-14 08:00:26.715796,Cars.com
2020 Mitsubishi Outlander Sport 2.0 ES,"$22,498","43,161 mi.",Octane Blue Metallic,Black,Four-wheel Drive,Gasoline,Automatic CVT,2.0L I4 16V MPFI DOHC,JA4AR3AU4LU028159,2023-05-14 08:00:28.312894,Cars.com
2020 Lamborghini Huracan EVO Base,"$239,995","24,125 mi.",Blue,Orange,Rear-wheel Drive,Gasoline,7-Speed Automatic with Auto-Shift,5.2L V10 40V GDI DOHC,ZHWUF5ZF3LLA14623,2023-05-14 08:00:31.436393,Cars.com
2017 Acura NSX Base,"$127,995","20,894 mi.",Black,Red,All-wheel Drive,Hybrid,9-Speed Automatic with Auto-Shift,3.5L V6 24V PDI DOHC Twin Turbo Hybrid,19UNC1B03HY000315,2023-05-14 08:00:34.211455,Cars.com
2023 Chevrolet Bolt EUV Premier,"$33,295",2 mi.,Silver Flare Metallic,Dark Ash,Front-wheel Drive,Electric,1-Speed Automatic,Electric,1G1FZ6S07P4155656,2023-05-14 08:00:36.739712,Cars.com
2023 Chevrolet Bolt EUV LT,"$29,190",2 mi.,Bright Blue Metallic,Black,Front-wheel Drive,Electric,1-Speed Automatic,Electric,1G1FY6S01P4157230,2023-05-14 08:00:39.424023,Cars.com
2023 Kia EV6 GT,"$74,325",18 mi.,Steel,Black,All-wheel Drive,Electric,Automatic,Electric,KNDC5DLE5P5090773,2023-05-14 08:00:41.612636,Cars.com
2021 Land Rover Discovery Sport S R-Dynamic,"$36,250","21,441 mi.",Byron Blue,Ebony,Four-wheel Drive,Gasoline,9-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,SALCT2FXXMH900120,2023-05-14 08:00:43.927433,Cars.com
2018 Jaguar XE 25t,"$23,694","33,437 mi.",Indus Silver,Ebony,All-wheel Drive,Gasoline,8-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,SAJAS4FX2JCP34537,2023-05-14 08:00:46.192862,Cars.com
2020 Land Rover Range Rover P525 HSE,"$74,919","33,162 mi.",Narvik Black,Ebony,Four-wheel Drive,Gasoline,Automatic,V8,SALGS2SEXLA585464,2023-05-14 08:00:48.844085,Cars.com
2023 Ford Bronco Black Diamond,"$44,360",9 mi.,Iconic Silver Metallic,Black Onyx,Four-wheel Drive,Gasoline,7-Speed Manual,2.3L I4 16V GDI DOHC Turbo,1FMDE5BH5PLB26247,2023-05-14 08:00:51.765143,Cars.com
2023 GMC Sierra 2500 SLE,"$71,120",5 mi.,Summit White,Jet Black,Four-wheel Drive,Diesel,Automatic,"Duramax 6.6L V-8 diesel direct injection, intercooled turbo, die",1GT49MEY0PF260628,2023-05-14 08:00:53.827304,Cars.com
2023 Dodge Charger SXT,"$42,700",8 mi.,Octane Red Pearlcoat,Black,Rear-wheel Drive,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, engine with 292",2C3CDXBG2PH555336,2023-05-14 08:01:03.244329,Cars.com
2023 Jeep Grand Cherokee L Overland,"$61,705",296 mi.,Bright White Clearcoat,Global Black,Four-wheel Drive,Gasoline,Automatic,"Pentastar 3.6L V-6 DOHC, variable valve control, engine with 293",1C4RJKDG8P8736963,2023-05-14 08:01:06.879787,Cars.com
