,CarPrice,CarMileage,VIN,TimeStamp,Source,Make,Model,Year,Trim,ExteriorColorGeneral,InteriorColorGeneral,DrivetrainGeneral,FuelTypeGeneral,TransmissionGeneral,EngineSize,EngineConfiguration,Fuel System,Turbocharged,Hybrid,ZipLocation
0,26987.0,28634,JF2SKAJC8LH600760,2023-11-24 22:01:08.835278+00:00,Cars.com,SUBARU,Forester,2020,Prm+ES+KA,Gray,Black,AWD,Gasoline,Automatic,2.5L,,GDI,0,0,01464
1,32487.0,6590,JM1NDAM76N0502512,2023-11-24 21:59:25.943691+00:00,Cars.com,MAZDA,MX-5,2022,Grand Touring,Black,Black,RWD,Gasoline,Manual,2.0L,I4,,0,0,01464
2,17988.0,79450,JN8CS1MU1HM142232,2023-11-24 22:36:10.657644+00:00,Cars.com,INFINITI,QX70,2017,,Blue,Gray,RWD,Gasoline,Automatic,,,,0,0,01237
3,24622.0,30178,3CZRU6H11MM755165,2023-11-24 21:36:14.666147+00:00,Cars.com,HONDA,HR-V,2021,SPORT,Gray,Other,AWD,Gasoline,Automatic,1.8L,I4,MPFI,0,0,02045
4,19945.0,68637,JN8CS1MW2EM412128,2023-11-24 22:30:55.910951+00:00,Cars.com,INFINITI,QX70,2014,,Black,Gray,AWD,Gasoline,Automatic,3.7L,,,0,0,01237
5,105000.0,22681,SCFSMGAW3LGN03771,2023-11-12 16:53:30.674428+00:00,Cars.com,ASTON MARTIN,Vantage,2020,,Blue,Black,RWD,Gasoline,Automatic,4.0L,V8,GDI,1,0,
6,46500.0,24578,1G1FH1R71M0117223,2023-11-24 22:09:36.855764+00:00,Cars.com,CHEVROLET,Camaro,2021,,Other,Black,RWD,Gasoline,Automatic,6.2L,V8,GDI,0,0,01464
7,16421.0,71791,4S3GTAB63K3701811,2023-11-24 22:00:52.997279+00:00,Cars.com,SUBARU,Impreza,2019,Base +ES,Black,White,AWD,Gasoline,Automatic,2.0L,,,0,0,01464
8,,6202,KMUMADTB3PU120572,2023-11-24 21:33:33.761194+00:00,Cars.com,GENESIS,GV70,2023,,White,Black,Other,Gasoline,Other,,,,0,0,02045
9,53982.0,41609,1FMJK2ATXLEA60647,2023-11-12 17:44:06.817006+00:00,Cars.com,FORD,Expedition MAX,2020,,Gray,Black,4WD,Gasoline,Automatic,3.5L,V6,GDI,1,0,
10,20736.0,72966,2FMGK5D81JBA13986,2023-11-24 22:02:53.728814+00:00,Cars.com,FORD,Flex,2018,,Gray,Other,FWD,Gasoline,Automatic,3.5L,V6,MPFI,0,0,01464
11,38495.0,21374,2T2AZMDA0LC217736,2023-11-12 17:43:44.256878+00:00,Cars.com,LEXUS,RX,2020,Base,Other,Black,AWD,Gasoline,Automatic,3.5L,V6,DI,0,0,
12,21998.0,89490,JN8CS1MW6GM751445,2023-11-24 22:32:18.746368+00:00,Cars.com,INFINITI,QX70,2016,,White,Other,AWD,Gasoline,Automatic,3.7L,V6,MPFI,0,0,01237
13,,89249,1C4PJMCB2GW271861,2023-11-24 22:08:07.469370+00:00,Cars.com,JEEP,Cherokee,2016,Latitude/Longitude/North,Black,Black,4WD,Gasoline,Automatic,2.4L,I4,,0,0,01464
14,12777.0,96365,WAUFFAFL1EN037212,2023-11-12 20:15:48.356263+00:00,Cars.com,AUDI,A4,2014,Premium Plus quattro,Gray,Black,AWD,Flex Fuel,Automatic,2.0L,I4,GDI,1,0,
15,21791.0,47127,JM1GL1VM8L1526639,2023-11-24 21:59:00.651632+00:00,Cars.com,MAZDA,Mazda6,2020,,Black,Black,FWD,Gasoline,Automatic,2.5L,I4,GDI,0,0,01464
16,23490.0,38084,JF2SKACC2KH587189,2023-11-24 22:12:47.379378+00:00,Cars.com,SUBARU,Forester,2019,Base P+ES,White,Gray,AWD,Gasoline,Automatic,2.5L,,GDI,0,0,01464
17,32250.0,30691,2HKRW2H88LH695542,2023-11-24 21:54:12.670586+00:00,Cars.com,HONDA,CR-V,2020,EX-L,Gray,Black,Other,Gasoline,Other,,,,0,0,01464
18,79995.0,20240,WP0AB29929S721983,2023-11-12 16:52:55.702035+00:00,Cars.com,PORSCHE,911,2009,"S (2WD), 4S (4WD)",Black,Black,RWD,Gasoline,Other,3.8L,,,0,0,
19,27350.0,46652,JF1ZNBB17N9751969,2023-11-12 17:39:53.966766+00:00,Cars.com,TOYOTA,GR86,2022,GR86,Other,Black,RWD,Gasoline,Manual,2.4L,,DI,0,0,
20,30999.0,10262,19UDE4G74PA001154,2023-11-12 16:52:29.314373+00:00,Cars.com,ACURA,Integra,2023,,White,Other,FWD,Gasoline,Manual,1.5L,,,0,0,
21,22988.0,84800,JN8CS1MW0HM415369,2023-11-24 22:33:38.201797+00:00,Cars.com,INFINITI,QX70,2017,,Other,Black,AWD,Gasoline,Automatic,3.7L,V6,MPFI,0,0,01237
22,53997.0,19694,WP1AB2A53MLB32306,2023-11-12 20:15:37.916686+00:00,Cars.com,PORSCHE,Macan,2021,S,Gray,Black,AWD,Gasoline,Automatic,3.0L,V6,GDI,1,0,
23,,166628,3GTP2VE34BG171227,2023-11-24 22:08:20.866883+00:00,Cars.com,GMC,Sierra,2011,SLE,Blue,Black,4WD,Flex Fuel,Automatic,5.3L,V8,,0,0,01464
24,17995.0,115308,JN8CS1MW0HM412780,2023-11-24 22:32:21.110368+00:00,Cars.com,INFINITI,QX70,2017,,Gray,Other,AWD,Gasoline,Automatic,3.7L,V6,MPFI,0,0,01237
25,16999.0,57000,YV449MDM3F2691708,2023-11-12 20:16:13.085239+00:00,Cars.com,VOLVO,XC60,2015,Platinum (non R design),White,Other,FWD,Gasoline,Automatic,2.0L,I4,GDI,0,0,
26,46247.0,4877,1C4RJHBGXPC565510,2023-11-12 17:41:45.442546+00:00,Cars.com,JEEP,Grand Cherokee,2023,WL,Black,Black,4WD,Gasoline,Automatic,3.6L,V6,MPFI,0,0,
27,33743.0,58504,1GYS3AKJ2GR418085,2023-11-12 16:53:52.227599+00:00,Cars.com,CADILLAC,Escalade,2016,,Black,Black,RWD,Gasoline,Automatic,6.2L,V8,GDI,0,0,
28,51900.0,3233,1FA6P8R04N5549904,2023-11-12 20:12:57.093333+00:00,Cars.com,FORD,Mustang,2022,,Gray,Black,RWD,Gasoline,Automatic,5.0L,V8,DI,0,0,
29,72989.0,22466,WP0AA2A98FS106526,2023-11-12 17:40:42.602645+00:00,Cars.com,PORSCHE,911,2015,"Carrera (2WD), Carrera 4 (4WD)",White,Black,RWD,Gasoline,Automatic,3.4L,,GDI,0,0,
30,12500.0,137000,JN8CS1MW4FM482540,2023-11-24 22:31:47.413230+00:00,Cars.com,INFINITI,QX70,2015,,Gray,Black,AWD,Gasoline,Other,3.7L,V6,,0,0,01237
31,27350.0,46652,JF1ZNBB17N9751969,2023-11-12 17:42:36.873010+00:00,Cars.com,TOYOTA,GR86,2022,GR86,Other,Black,RWD,Gasoline,Manual,2.4L,,DI,0,0,
32,48339.0,71653,1GNSKNKD8MR367429,2023-11-12 20:16:51.199161+00:00,Cars.com,CHEVROLET,Tahoe,2021,,Black,Black,4WD,Gasoline,Automatic,5.3L,V8,GDI,0,0,
33,14995.0,118004,JN8CS1MWXFM480310,2023-11-24 22:30:18.849235+00:00,Cars.com,INFINITI,QX70,2015,,Gray,Black,AWD,Gasoline,Automatic,3.7L,V6,MPFI,0,0,01237
34,19673.0,32050,4S3GTAB68K3711749,2023-11-24 22:01:37.994305+00:00,Cars.com,SUBARU,Impreza,2019,Base +ES,Gray,Black,AWD,Gasoline,Automatic,2.0L,,GDI,0,0,01464
35,50998.0,29583,JTJHKCEZ9N2003932,2023-11-12 16:53:01.419102+00:00,Cars.com,LEXUS,NX,2022,Luxury,Other,Other,AWD,Hybrid,Automatic,2.5L,I4,DI,0,1,
36,29185.0,22612,KNDPVCAG0P7018318,2023-11-12 16:55:48.696679+00:00,Cars.com,KIA,Sportage,2023,,Orange,Other,AWD,Hybrid,Automatic,1.6L,I4,GDI,1,1,
37,10999.0,77713,3C4PDCAB2LT220381,2023-11-12 20:12:38.912384+00:00,Cars.com,DODGE,Journey,2020,,White,Black,FWD,Gasoline,Automatic,2.4L,,,0,0,
38,35505.0,6781,1FATP8FFXK5184541,2023-11-12 20:15:40.978386+00:00,Cars.com,FORD,Mustang,2019,,Gray,Black,RWD,Gasoline,Automatic,5.0L,V8,DI,0,0,
39,35994.0,11928,WA1EECF38N1137953,2023-11-12 17:40:15.009562+00:00,Cars.com,AUDI,Q3,2022,,Gray,Black,AWD,Gasoline,Automatic,,I4,,0,0,
40,28999.0,31134,5FNYF8H54KB028632,2023-11-24 21:36:52.960901+00:00,Cars.com,HONDA,Passport,2019,EXL,Black,Black,AWD,Gasoline,Automatic,3.5L,V6,GDI,0,0,02045
41,42400.0,39816,5YJXCDE28HF060743,2023-11-12 17:42:55.599694+00:00,Cars.com,TESLA,Model X,2017,,Gray,Black,AWD,Other,Automatic,,,,0,0,
42,17650.0,63250,2T1BURHEXHC815082,2023-11-24 22:06:08.058972+00:00,Cars.com,TOYOTA,Corolla,2017,L/LE/SE/XLE/XSE/50th Anniv. Special Edition,Gray,Black,FWD,Gasoline,Automatic,1.8L,I4,MPFI,0,0,01464
43,31000.0,44985,WAUDADF53MA005764,2023-11-24 21:53:56.692081+00:00,Cars.com,AUDI,A5,2021,Sportback Body Style,Gray,Black,AWD,Gasoline,Automatic,2.0L,,,0,0,01464
44,27451.0,75266,5TDJZRFH1HS360155,2023-11-24 22:12:51.367895+00:00,Cars.com,TOYOTA,Highlander,2017,SE/XLE,Gray,Other,AWD,Gasoline,Automatic,3.5L,V6,DI,0,0,01464
45,86000.0,19915,WBSAE0C08LBM08345,2023-11-24 21:34:01.134809+00:00,Cars.com,BMW,M8,2020,,Black,White,AWD,Gasoline,Automatic,4.4L,,,0,0,02045
46,15408.0,73172,1HGCR2F32DA074411,2023-11-12 21:45:34.123689+00:00,Cars.com,HONDA,Accord,2013,,Other,Other,FWD,Gasoline,Automatic,2.4L,I4,GDI,0,0,02191
47,425000.0,900,ZFF92LLA8N0268956,2023-11-12 21:44:57.748651+00:00,Cars.com,FERRARI,F8 Tributo,2022,,Red,Black,RWD,Gasoline,Automatic,3.9L,,,0,0,02191
48,9500.0,87301,1N4AL3AP1DN412449,2023-11-12 17:41:02.426854+00:00,Cars.com,NISSAN,Altima,2013,,White,Other,FWD,Gasoline,Automatic,2.5L,I4,MPFI,0,0,
